date,commit,depth,games,per_level_w-d-l,estimate
2026-08-05,2fb46bc,2,4,1320:0-0-1;1400:0-0-1;1500:1-0-0;1700:0-0-1,1261 (95% CI 729-1641)
2026-08-05,2fb46bc,2,19,1320:1-2-2;1400:0-1-3;1500:0-2-3;1700:0-0-5,1190 (95% CI 952-1382)
